rcn,code,title,shortTitle,language
664121,H2020-EU.1.4.,EXCELLENT SCIENCE - Research Infrastructures,Research Infrastructures,en
664307,H2020-EU.3.2.3.3.,Boosting marine and maritime innovation through biotechnology,,en
664303,H2020-EU.3.2.3.1.,Developing sustainable and environmentally-friendly fisheries,,en
664521,H2020-Euratom-1.2.,Contribute to the development of solutions for the management of ultimate nuclear waste,,en
664305,H2020-EU.3.2.3.2.,Developing competitive and environmentally-friendly European aquaculture,,en
664485,H2020-EU.4.b.,El hermanamiento de centros de investigaciÃ³n,Twinning of research institutions,es
664485,H2020-EU.4.b.,Partnerschaften zwischen Forschungseinrichtungen ,Twinning of research institutions,de
664485,H2020-EU.4.b.,Tworzeniu partnerstw miÄdzy instytucjami badawczymi (ang. twinning),tworzeniu partnerstw miÄdzy instytucjami badawczymi (ang. twinning),pl
664485,H2020-EU.4.b.,Gemellaggi di istituti di ricerca,Twinning of research institutions,it
664485,H2020-EU.4.b.,Jumeler des institutions de recherche,Twinning of research institutions,fr
700236,H2020-EU.3.4.8.3.,Innovation Programme 3: Cost Efficient and Reliable High Capacity Infrastructure,,en
700323,H2020-EU.3.4.8.2.,Innovation Programme 2: Advanced traffic management and control systems,,en
700255,H2020-EU.3.4.8.5.,Innovation Programme 5: Technologies for sustainable and attractive European rail freight,,en
700205,H2020-EU.3.4.8.4.,Innovation Programme 4: IT Solutions for attractive railway services,,en
664485,H2020-EU.4.b.,Twinning of research institutions,Twinning of research institutions,en
664175,H2020-EU.2.1.3.1.,Ãbergreifende und grundlegende Werkstofftec,Cross-cutting and enabling materials technologies,de
664175,H2020-EU.2.1.3.1.,TecnologÃ­as de materiales transversales y de capacitaciÃ³n,Cross-cutting and enabling materials technologies,es
664455,H2020-EU.3.6.3.,Refleksyjne spoÅeczeÅstwa â dziedzictwo kulturowe i toÅ¼samoÅÄ europejska,Reflective societies,pl
664437,H2020-EU.3.6.1.,SpoÅeczeÅstwa integracyjne,Inclusive societies,pl
664437,H2020-EU.3.6.1.,Sociedades inclusivas,Inclusive societies,es
664437,H2020-EU.3.6.1.,SocietÃ  inclusive,Inclusive societies,it
664437,H2020-EU.3.6.1.,Des sociÃ©tÃ©s ouvertes Ã  tous,Inclusive societies,fr
664437,H2020-EU.3.6.1.,Integrative Gesellschaften,Inclusive societies,de
664343,H2020-EU.3.3.3.1.,Make bio-energy more competitive and sustainable,,en
664175,H2020-EU.2.1.3.1.,Technologies des matÃ©riaux transversales et gÃ©nÃ©riques,Cross-cutting and enabling materials technologies,fr
664455,H2020-EU.3.6.3.,SocietÃ  riflessive - patrimonio culturale e identitÃ  europea,Reflective societies,it
664455,H2020-EU.3.6.3.,Des sociÃ©tÃ©s de rÃ©flexion - patrimoine culturel et identitÃ© europÃ©enne,Reflective societies,fr
664455,H2020-EU.3.6.3.,Sociedades reflexivas - patrimonio cultural e identidad europea,Reflective societies,es
664455,H2020-EU.3.6.3.,Reflektierende Gesellschaften â Kulturerbe und europÃ¤ische IdentitÃ¤t,Reflective societies,de
664175,H2020-EU.2.1.3.1.,Cross-cutting and enabling materials technologies,Cross-cutting and enabling materials technologies,en
664437,H2020-EU.3.6.1.,Inclusive societies,Inclusive societies,en
664455,H2020-EU.3.6.3.,Reflective societies - cultural heritage and European identity,Reflective societies,en
664175,H2020-EU.2.1.3.1.,Tecnologie trasversali e abilitanti in materia di materiali,Cross-cutting and enabling materials technologies,it
664175,H2020-EU.2.1.3.1.,Przekrojowe i prorozwojowych technologie materiaÅowe,Cross-cutting and enabling materials technologies,pl
664153,H2020-EU.2.1.1.3.,"Future Internet: Software, hardware, Infrastructures, technologies and services",,en
700520,H2020-EU.3.4.8.,Shift2Rail JU,,en
664533,H2020-Euratom-1.8.,Ensure availability and use of research infrastructures of pan_european relevance,,en
664347,H2020-EU.3.3.3.3.,New alternative fuels,,en
664525,H2020-Euratom-1.4.,Foster radiation protection,,en
664181,H2020-EU.2.1.3.4.,"MateriaÅy dla zrÃ³wnowaÅ¼onego, zasobooszczÄdnego i niskoemisyjnego przemysÅu",Materials for a resource-efficient and low-emission industry,pl
664149,H2020-EU.2.1.1.1.,A new generation of components and systems: Engineering of advanced embedded and energy and resource efficient components and systems,,en
664443,H2020-EU.3.6.1.3.,"Europe's role as a global actor, notably regarding human rights and global justice",,en
664215,H2020-EU.2.1.6.4.,Beitrag der europÃ¤ischen Forschung zu internationalen Weltraumpartnerschaften,Research in support of international space partnerships,de
664205,H2020-EU.2.1.5.4.,Des modÃ¨les d'entreprise nouveaux et durables,New sustainable business models,fr
664181,H2020-EU.2.1.3.4.,"Materiales para una industria sostenible, eficiente en recursos y de bajas emisiones",Materials for a resource-efficient and low-emission industry,es
664181,H2020-EU.2.1.3.4.,Werkstoffe fÃ¼r eine nachhaltige und ressourcenschonende Industrie mit geringen Emissionen,Materials for a resource-efficient and low-emission industry,de
664495,H2020-EU.5.,SCIENZA CON E PER LA SOCIETÃ,Science with and for Society,it
664495,H2020-EU.5.,LA SCIENCE AVEC ET POUR LA SOCIÃTÃ,Science with and for Society,fr
664205,H2020-EU.2.1.5.4.,Nuevos modelos de negocio sostenibles,New sustainable business models,es
664181,H2020-EU.2.1.3.4.,"Materiali per un'industria sostenibile, efficiente sotto il profilo delle risorse e a basse emissioni",Materials for a resource-efficient and low-emission industry,it
664215,H2020-EU.2.1.6.4.,UmoÅ¼liwienie prowadzenia europejskich badaÅ naukowych wspierajÄcych miÄdzynarodowe partnerstwa w dziedzinie przestrzeni kosmicznej,Research in support of international space partnerships,pl
664215,H2020-EU.2.1.6.4.,Favorecer la investigaciÃ³n europea de apoyo a las asociaciones espaciales internacionales,Research in support of international space partnerships,es
664205,H2020-EU.2.1.5.4.,Nowe zrÃ³wnowaÅ¼one modele biznesowe,New sustainable business models,pl
664181,H2020-EU.2.1.3.4.,"MatÃ©riaux pour une industrie durable, efficace dans l'utilisation des ressources et Ã  faible Ã©mission de carbone",Materials for a resource-efficient and low-emission industry,fr
664495,H2020-EU.5.,NAUKA Z UDZIAÅEM SPOÅECZEÅSTWA I DLA SPOÅECZEÅSTWA,Science with and for Society,pl
664495,H2020-EU.5.,CIENCIA CON Y PARA LA SOCIEDAD,Science with and for Society,es
664495,H2020-EU.5.,WISSENSCHAFT MIT DER UND FÃR DIE GESELLSCHAFT,Science with and for Society,de
664181,H2020-EU.2.1.3.4.,"Materials for a sustainable, resource-efficient and low-emission industry",Materials for a resource-efficient and low-emission industry,en
664461,H2020-EU.3.6.3.3.,"Research on Europe's role in the world, on the mutual influence and ties between the world regions, and a view from outside on European cultures",,en
664215,H2020-EU.2.1.6.4.,Enabling European research in support of international space partnerships,Research in support of international space partnerships,en
664411,H2020-EU.3.5.3.2.,"Promote the sustainable supply and use of raw materials, including mineral resources, from land and sea, covering exploration, extraction, processing, re-use, recycling and recovery",,en
664509,H2020-EU.5.h.,"Improving knowledge on science communication in order to improve the quality and effectiveness of interactions between scientists, general media and the public",,en
664205,H2020-EU.2.1.5.4.,New sustainable business models,New sustainable business models,en
664497,H2020-EU.5.a.,"Make scientific and technological careers attractive to young students, and forster sustainable interaction between schools, research institutions, industry and civil society organisations",,en
664491,H2020-EU.4.e.,Supporting access to international networks for excellent researchers and innovators who lack sufficient involvement in European and international networks,,en
664215,H2020-EU.2.1.6.4.,Promuovere la ricerca europea per sostenere partenariati internazionali nel settore dello spazio,Research in support of international space partnerships,it
664215,H2020-EU.2.1.6.4.,Promouvoir la recherche europÃ©enne pour soutenir les partenariats internationaux dans le domaine spatial,Research in support of international space partnerships,fr
664205,H2020-EU.2.1.5.4.,Nuovi modelli economici sostenibili,New sustainable business models,it
664205,H2020-EU.2.1.5.4.,Neue nachhaltige GeschÃ¤ftsmodelle,New sustainable business models,de
664495,H2020-EU.5.,SCIENCE WITH AND FOR SOCIETY,Science with and for Society,en
664529,H2020-Euratom-1.6.,"Lay the foundations for future fusion power plants by developing materials, technologies and conceptual design",,en
664177,H2020-EU.2.1.3.2.,Entwicklung und Transformation von Werkstoffen,Materials development and transformation,de
664177,H2020-EU.2.1.3.2.,DÃ©veloppement et transformation des matÃ©riaux,Materials development and transformation,fr
664177,H2020-EU.2.1.3.2.,Sviluppo e trasformazione di materiali,Materials development and transformation,it
664177,H2020-EU.2.1.3.2.,Desarrollo y transformaciÃ³n de materiales,Materials development and transformation,es
664177,H2020-EU.2.1.3.2.,RozwÃ³j i przeksztaÅcanie materiaÅÃ³w,Materials development and transformation,pl
664177,H2020-EU.2.1.3.2.,Materials development and transformation,Materials development and transformation,en
664503,H2020-EU.5.e.,Develop the accessibility and the use of the results of publicly-funded research,,en
664159,H2020-EU.2.1.1.6.,"Micro- and nanoelectronics and photonics: Key enabling technologies related to micro- and nanoelectronics and to photonics, covering also quantum technologies",,en
664327,H2020-EU.3.3.1.2.,Unlock the potential of efficient and renewable heating-cooling systems,,en
665345,H2020-EU.3.5.7.,FCH2 (raw materials objective),,en
700201,H2020-EU.3.4.8.6.,Cross-cutting themes and activities (CCA),,en
664217,H2020-EU.2.2.,LIDERAZGO INDUSTRIAL - Acceso a la financiaciÃ³n de riesgo,Access to risk finance,es
664217,H2020-EU.2.2.,LEADERSHIP INDUSTRIALE - Accesso al capitale di rischio,Access to risk finance,it
664163,H2020-EU.2.1.2.1.,"Entwicklung von Nanowerkstoffen, NanogerÃ¤ten und Nanosystemen der nÃ¤chsten Generation","Next generation nanomaterials, nanodevices and nanosystems",de
664217,H2020-EU.2.2.,PRIMAUTÃ INDUSTRIELLE - AccÃ¨s au financement Ã  risque,Access to risk finance,fr
664217,H2020-EU.2.2.,FÃHRENDE ROLLE DER INDUSTRIE - Zugang zu Risikofinanzierung,Access to risk finance,de
664163,H2020-EU.2.1.2.1.,"RozwÃ³j nowej generacji nanomateriaÅÃ³w, nanourzÄdzeÅ i nanosystemÃ³w","Next generation nanomaterials, nanodevices and nanosystems",pl
664163,H2020-EU.2.1.2.1.,"Sviluppo di nanomateriali, nanodispositivi e nanosistemi della prossima generazione","Next generation nanomaterials, nanodevices and nanosystems",it
664217,H2020-EU.2.2.,INDUSTRIAL LEADERSHIP - Access to risk finance,Access to risk finance,en
664163,H2020-EU.2.1.2.1.,"Developing next generation nanomaterials, nanodevices and nanosystems ","Next generation nanomaterials, nanodevices and nanosystems",en
664423,H2020-EU.3.5.4.3.,Measure and assess progress towards a green economy,,en
664163,H2020-EU.2.1.2.1.,"Desarrollo de la prÃ³xima generaciÃ³n de nanomateriales, nanosistemas y nanodispositivos","Next generation nanomaterials, nanodevices and nanosystems",es
664163,H2020-EU.2.1.2.1.,"DÃ©velopper les nanomatÃ©riaux, les nanodispositifs et les nanosystÃ¨mes de la prochaine gÃ©nÃ©ration","Next generation nanomaterials, nanodevices and nanosystems",fr
664217,H2020-EU.2.2.,WIODÄCA POZYCJA W PRZEMYÅLE - DostÄp do finansowania ryzyka,Access to risk finance,pl
669176,H2020-EU.3.4.7.1,Exploratory Research,,en
664151,H2020-EU.2.1.1.2.,"Next generation computing: Advanced and secure computing systems and technologies, including cloud computing",,en
703985,H2020-EU.3.6.2.1.,Strengthen the evidence base and support for the Innovation Union and ERA,,en
665333,H2020-EU.3.3.8.,FCH2 (energy objectives),,en
664219,H2020-EU.2.2.1.,"Die KreditfazilitÃ¤t fÃ¼r FuI: ""Unionsdarlehen und Garantien fÃ¼r Forschung und Innovation"" ",Debt facility,de
664221,H2020-EU.2.2.2.,Instrument finansowy zapewniajÄcy finansowanie kapitaÅowe badaÅ naukowych i innowacji: âInstrumenty kapitaÅowe Unii w zakresie badaÅ naukowych i innowacjiâ,Equity facility,pl
664221,H2020-EU.2.2.2.,"Lo strumento di capitale proprio che fornisce finanziamenti in ambito R&I: ""Strumenti di capitale dell'Unione per la ricerca e l'innovazione""",Equity facility,it
664221,H2020-EU.2.2.2.,Le mÃ©canisme de fonds propres permettant le financement par les fonds propres des activitÃ©s de recherche et d'innovation: Â«Instruments de fonds propres de l'Union pour la recherche et l'innovationÂ»,Equity facility,fr
664221,H2020-EU.2.2.2.,The Equity facility providing equity finance for R&I: 'Union equity instruments for research and innovation',Equity facility,en
664219,H2020-EU.2.2.1.,The Debt facility providing debt finance for R&I: 'Union loan and guarantee service for research and innovation',Debt facility,en
664221,H2020-EU.2.2.2.,"Mecanismo de capital que proporciona financiaciÃ³n de capital para la I+i: ""Instrumentos de capital de la UniÃ³n para la investigaciÃ³n y la innovaciÃ³n""",Equity facility,es
664221,H2020-EU.2.2.2.,"Die Beteiligungskapital-FazilitÃ¤t fÃ¼r FuI: ""Unionsinstrumente fÃ¼r die Beteiligungsfinanzierung von Forschung und Innovation""",Equity facility,de
664219,H2020-EU.2.2.1.,Instrument dÅuÅ¼ny zapewniajÄcy finansowanie dÅuÅ¼ne badaÅ naukowych i innowacji: âInstrument poÅ¼yczkowo-gwarancyjny Unii na rzecz badaÅ naukowych i innowacjiâ,Debt facility,pl
664219,H2020-EU.2.2.1.,"Lo strumento prestiti che fornisce finanziamenti in ambito R&I: ""Servizio di prestiti e garanzie dell'Unione per la ricerca e l'innovazione""",Debt facility,it
664219,H2020-EU.2.2.1.,Le mÃ©canisme d'emprunt permettant le financement par l'emprunt des activitÃ©s de recherche et d'innovation: Â«Service de prÃªt et de garantie de l'Union pour la recherche et l'innovationÂ»,Debt facility,fr
664219,H2020-EU.2.2.1.,"Mecanismo de deuda que proporciona financiaciÃ³n de deuda para la I+i: ""Servicio de crÃ©dito y garantÃ­a de la UniÃ³n para la investigaciÃ³n y la innovaciÃ³n""",Debt facility,es
664183,H2020-EU.2.1.3.5.,"Materiali per le industrie creative, comprese quelle relative al patrimonio","Materials for creative industries, including heritage",it
664183,H2020-EU.2.1.3.5.,"Materials for creative industries, including heritage","Materials for creative industries, including heritage",en
702726,H2020-EU.3.2.4.2.,Developing integrated biorefineries,,en
664183,H2020-EU.2.1.3.5.,"Materiales para las industrias creativas, inclusive el patrimonio","Materials for creative industries, including heritage",es
664183,H2020-EU.2.1.3.5.,"Werkstoffe fÃ¼r kreative Branchen, einschlieÃlich Kulturerbe","Materials for creative industries, including heritage",de
664183,H2020-EU.2.1.3.5.,"MatÃ©riaux pour des entreprises crÃ©atives, y compris dans le domaine du patrimoine","Materials for creative industries, including heritage",fr
664183,H2020-EU.2.1.3.5.,"MateriaÅy dla sektorÃ³w kreatywnych, w tym zwiÄzanych z dziedzictwem","Materials for creative industries, including heritage",pl
702726,H2020-EU.3.2.4.2.,RozwÃ³j zintegrowanych biorafinerii,,pl
702726,H2020-EU.3.2.4.2.,Sviluppo di bioraffinerie integrate,,it
702726,H2020-EU.3.2.4.2.,DÃ©velopper des bioraffineries intÃ©grÃ©es,,fr
702726,H2020-EU.3.2.4.2.,Desarrollar biorrefinerÃ­as integradas,,es
702726,H2020-EU.3.2.4.2.,Entwicklung integrierter Bioraffinerien,,de
665416,H2020-EU.3.4.5.7.,Small Air Transport (SAT) Transverse Area,,en
665347,H2020-EU.3.5.7.1.,"Reduce the use of the EU defined ""Critical raw materials"", for instance through low platinum or platinum free resources and through recycling or reducing or avoiding the use of rare earth elements",,en
664091,H2020-EU.1.,PRIORITY 'Excellent science',Excellent Science,en
664091,H2020-EU.1.,PRIORITÃ Â«Excellence scientifiqueÂ»,Excellent Science,fr
664091,H2020-EU.1.,"SCHWERPUNKT ""Wissenschaftsexzellenz""",Excellent Science,de
664091,H2020-EU.1.,"PRIORITÃ ""Eccellenza scientifica""",Excellent Science,it
664091,H2020-EU.1.,PRIORYTET âDoskonaÅa baza naukowaâ,Excellent Science,pl
664091,H2020-EU.1.,"PRIORIDAD ""Ciencia excelente""",Excellent Science,es
664515,H2020-Euratom,Euratom,,en
704133,H2020-European-i-Capital-Prize-2018,The European Capital of Innovation Award (iCapital),,en
704288,H2020-European-i-Capital-Prize-2019,The European Capital of Innovation Award (iCapital),,en
703527,H2020-EEN-GA3,ENTERPRISE EUROPE NETWORK H2020 ASSOCIATED COUNTRIES,,en
702819,H2020-SWFS-2016-2017-35,EU Prize for Women Innovators 2018,,en
702221,H2020-FutureEnginePrize-2016,FutureEnginePrize-01-2016,,en
702220,H2020-EngineRetrofitPrize-2016,EngineRetrofitPrize-01-2016,,en
702390,H2020-European-i-capital-Prize-2017,European Capital of Innovation prize,,en
702172,H2020-BirthDayPrize-2016,Horizon Prize - Birth Day,,en
702347,H2020-IBA-SC6-Expand-2016,Presidency Conference âExpanding Excellent Science for the Benefit of Societyâ,,en
702418,H2020-EEN-GA-2017-1-CH,H2020-EEN-GA-BCC-CH,,en
702229,H2020-EEN-GA,2D CONSULTATION EEN BBC H2020,,en
664367,H2020-EU.3.4.2.,"Plus de mobilitÃ©, moins d'encombrement, plus de sÃ»retÃ© et de sÃ©curitÃ©","Mobility, safety and security",fr
664229,H2020-EU.2.3.2.1.,Apoyar a las PYME intensivas en investigaciÃ³n,Support for research intensive SMEs,es
664191,H2020-EU.2.1.4.1.,Promouvoir les biotechnologies de pointe comme futur moteur d'innovation,Cutting-edge biotechnologies as future innovation driver,fr
664489,H2020-EU.4.d.,Wprowadzeniu narzÄdzia wspierania polityki,Policy Support Facility (PSF),pl
664187,H2020-EU.2.1.3.7.,OptimizaciÃ³n del uso de materiales,Optimisation of the use of materials,es
664195,H2020-EU.2.1.4.3.,TecnologÃ­as para plataformas innovadoras y competitivas,Innovative and competitive platform technologies,es
664489,H2020-EU.4.d.,Mettre en place un mÃ©canisme de soutien aux politiques,Policy Support Facility (PSF),fr
664185,H2020-EU.2.1.3.6.,"MetrologÃ­a, caracterizaciÃ³n, normalizaciÃ³n y control de calidad","Metrology, characterisation, standardisation and quality control",es
664185,H2020-EU.2.1.3.6.,"MÃ©trologie, caractÃ©risation, normalisation et contrÃ´le de la qualitÃ©","Metrology, characterisation, standardisation and quality control",fr
664185,H2020-EU.2.1.3.6.,"Metrologie, Merkmalsbeschreibung, Normung und QualitÃ¤tskontrolle","Metrology, characterisation, standardisation and quality control",de
664193,H2020-EU.2.1.4.2.,Biotechnologische Industrieprodukte und -prozesse,Bio-technology based industrial products and processes,de
664377,H2020-EU.3.4.3.,Liderazgo mundial para la industria europea del transporte,Global leadership for the European transport industry,es
664179,H2020-EU.2.1.3.3.,Gospodarowanie skÅadnikami materiaÅÃ³w,Management of materials components,pl
664489,H2020-EU.4.d.,Un meccanismo di sostegno delle politiche,Policy Support Facility (PSF),it
664137,H2020-EU.1.4.3.,Reforzar la polÃ­tica europea de infraestructuras de investigaciÃ³n y la cooperaciÃ³n internacional,Research infrastructure policy and international cooperation,es
664359,H2020-EU.3.4.1.,Un transporte eficiente en el uso de los recursos y que respeta el medio ambiente,Resource efficient transport that respects the environment,es
664359,H2020-EU.3.4.1.,Ressourcenschonender umweltfreundlicher Verkehr,Resource efficient transport that respects the environment,de
664131,H2020-EU.1.4.2.,Promuovere il potenziale di innovazione e le risorse umane delle infrastrutture di ricerca,Research infrastructures and their human resources,it
664131,H2020-EU.1.4.2.,Promouvoir le potentiel d'innovation et les ressources humaines des infrastructures de recherche,Research infrastructures and their human resources,fr
664123,H2020-EU.1.4.1.,DÃ©velopper les infrastructures de recherche europÃ©ennes pour 2020 et au-delÃ ,Research infrastructures for 2020 and beyond,fr
664513,H2020-EU.7.,L'ISTITUTO EUROPEO DI INNOVAZIONE E TECNOLOGIA (EIT),European Institute of Innovation and Technology (EIT),it
664513,H2020-EU.7.,INSTITUT EUROPÃEN D'INNOVATION ET DE TECHNOLOGIE (EIT),European Institute of Innovation and Technology (EIT),fr
